Pearl Harbor Address to the Nation,Franklin Delano Roosevelt,http://americanrhetoric.com/mp3clips/politicalspeeches/fdrwarmessage344.mp3,https://en.m.wikipedia.org/wiki/Infamy_Speech,1941
Farewell Address to Congress,Douglas MacArthur,http://www.americanrhetoric.com/mp3clips/politicalspeeches/douglasmacarthurfarewell34323.mp3,https://en.wikisource.org/wiki/MacArthur%27s_Farewell_Speech_to_Congress,1951
Checkers,Richard Milhous Nixon,http://web2.millercenter.org/speeches/audio/spe_1952_0923_nixon.mp3,https://en.wikipedia.org/wiki/Checkers_speech,1952
I Have a Dream,Martin Luther King Jr.,http://www.archive.org/download/MLKDream/MLKDream_64kb.mp3,https://en.wikipedia.org/wiki/I_Have_a_Dream,1963
Ich Bin Ein Berliner,John Fitzgerald Kennedy,http://www.americanrhetoric.com/mp3clips/politicalspeeches/jfkberlinaddress14444444iiiiii4444444444444.mp3,https://en.wikipedia.org/wiki/Ich_bin_ein_Berliner,1963
Gettysburg Address,Abraham Lincoln,http://fiftiesweb.com/usa/gettysburg-address-jd.mp3,https://en.m.wikipedia.org/wiki/Gettysburg_address,1964
